,address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state
0,"""2818 E Camino Acequia Drive""","""{'GoodForKids': 'False'}""","""1SWheh84yJXfytovILXOAQ""","""Golf, Active Life""","""Phoenix""","""nan""",0,33.5221425,-112.0184807,"""Arizona Biltmore Golf Club""","""85016""",5,3.0,"""AZ"""
1,"""30 Eglinton Avenue W""","""{'RestaurantsReservations': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'NoiseLevel': ""u'loud'"", 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'BikeParking': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'HasTV': 'False', 'WiFi': ""u'no'"", 'GoodForKids': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False'}""","""QXAEGFB4oINsVuTFxEYKFQ""","""Specialty Food, Restaurants, Dim Sum, Imported Food, Food, Chinese, Ethnic Food, Seafood""","""Mississauga""","""{'Monday': '9:0-0:0', 'Tuesday': '9:0-0:0', 'Wednesday': '9:0-0:0', 'Thursday': '9:0-0:0', 'Friday': '9:0-1:0', 'Saturday': '9:0-1:0', 'Sunday': '9:0-0:0'}""",1,43.605498974300005,-79.65228890899999,"""Emerald Chinese Restaurant""","""L5R 3E7""",128,2.5,"""ON"""
2,"""10110 Johnston Rd, Ste 15""","""{'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Alcohol': ""u'beer_and_wine'"", 'Caters': 'False', 'WiFi': ""u'no'"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTableService': 'True', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'HasTV': 'True', 'BikeParking': 'True', 'RestaurantsReservations': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""'casual'""}""","""gnKjwL_1w79qoiV3IC_xQQ""","""Sushi Bars, Restaurants, Japanese""","""Charlotte""","""{'Monday': '17:30-21:30', 'Wednesday': '17:30-21:30', 'Thursday': '17:30-21:30', 'Friday': '17:30-22:0', 'Saturday': '17:30-22:0', 'Sunday': '17:30-21:0'}""",1,35.092564,-80.85913199999997,"""Musashi Japanese Restaurant""","""28210""",170,4.0,"""NC"""
3,"""15655 W Roosevelt St, Ste 237""","""nan""","""xvX2CttrVhyG2z1dFg_0xw""","""Insurance, Financial Services""","""Goodyear""","""{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}""",1,33.4556129678,-112.3955963552,"""Farmers Insurance - Paul Lorenz""","""85338""",3,5.0,"""AZ"""
4,"""4209 Stuart Andrew Blvd, Ste F""","""{'BusinessAcceptsBitcoin': 'False', 'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True'}""","""HhyxOkGAM07SRYtlQ4wMFQ""","""Plumbing, Shopping, Local Services, Home Services, Kitchen & Bath, Home & Garden, Water Heater Installation/Repair""","""Charlotte""","""{'Monday': '7:0-23:0', 'Tuesday': '7:0-23:0', 'Wednesday': '7:0-23:0', 'Thursday': '7:0-23:0', 'Friday': '7:0-23:0', 'Saturday': '7:0-23:0', 'Sunday': '7:0-23:0'}""",1,35.1900119,-80.88722320000002,"""Queen City Plumbing""","""28217""",4,4.0,"""NC"""
5,"""Credit Valley Town Plaza, F2 - 6045 Creditview Rd""","""{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2'}""","""68dUKd8_8liJ7in4aWOSEA""","""Shipping Centers, Couriers & Delivery Services, Local Services, Printing Services""","""Mississauga""","""{'Monday': '9:0-19:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-19:0', 'Saturday': '10:0-16:0'}""",1,43.5994753,-79.7115835,"""The UPS Store""","""L5V 0B1""",3,2.5,"""ON"""
6,"""20 Douglas Woods Drive Southeast""","""{'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'ByAppointmentOnly': 'True'}""","""5JucpCfHZltJh5r1JabjDg""","""Beauty & Spas, Hair Salons""","""Calgary""","""nan""",1,50.9436456,-114.0018283,"""Edgeworxx Studio""","""T2Z 1K4""",7,3.5,"""AB"""
7,"""4545 E Tropicana Rd Ste 8, Tropicana""","""{'RestaurantsPriceRange2': '3', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False', 'BikeParking': 'False'}""","""gbQN7vr_caG_A1ugSmGhWg""","""Hair Salons, Hair Stylists, Barbers, Men's Hair Salons, Cosmetics & Beauty Supply, Shopping, Beauty & Spas""","""Las Vegas""","""{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-19:0', 'Sunday': '10:0-18:0'}""",1,36.099872,-115.074574,"""Supercuts""","""89121""",3,3.5,"""NV"""
8,"""5940 W Union Hills Dr""","""{'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'False'}""","""Y6iyemLX_oylRpnr38vgMA""","""Nail Salons, Beauty & Spas, Day Spas""","""Glendale""","""{'Tuesday': '12:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '12:0-18:0', 'Friday': '10:0-17:0', 'Saturday': '10:0-14:0'}""",0,33.6548146,-112.1885676,"""Vita Bella Fine Day Spa""","""85308""",8,5.0,"""AZ"""
9,"""21689 Lorain Rd""","""{'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'AcceptsInsurance': 'False'}""","""4GBVPIYRvzGh4K4TkRQ_rw""","""Beauty & Spas, Nail Salons, Day Spas, Massage""","""Fairview Park""","""{'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-16:0'}""",1,41.4408252653,-81.8540965503,"""Options Salon & Spa""","""44126""",8,4.5,"""OH"""
