,business_id,compliment_count,date,text,user_id
0,VaKXUpmWTTWDKbpJ3aQdMw,0,2014-03-27 03:51:24,"Great for watching games, ufc, and whatever else tickles yer fancy",UPw5DWs_b-e2JRBS-t37Ag
1,OPiPeoJiv92rENwbq76orA,0,2013-05-25 06:00:56,Happy Hour 2-4 daily with 1/2 price drinks and slushes AND after 8 half price shakes.  They actually have a peanut butter and bacon shake.,Ocha4kZBHb4JK0lOWvE0sg
2,5KheTjYPu1HcQzQFtm4_vw,0,2011-12-26 01:46:17,Good chips and salsa. Loud at times. Good service. Bathrooms AWFUL. So that tanks my view on this place.,jRyO2V1pA4CdVVqCIOPc1Q
3,TkoyGi8J7YFjA6SbaRzrxg,0,2014-03-23 21:32:49,The setting and decoration here is amazing. Come check out the waterfall fountain in the middle!,FuTJWFYm4UKqewaosss1KA
4,AkL6Ous6A1atZejfZXn1Bg,0,2012-10-06 00:19:27,Molly is definately taking a picture with Santa lols,LUlKtaM3nXd-E4N4uOk_fQ
5,kj1p6NwUGROOoqNySf0I1Q,0,2011-12-31 18:02:42,It's true! The drunken noodles are outrageous!,iAd8XaHxv05iXyEiZ62Ibw
6,0hudPyuCBlKg79OwKBw-eQ,0,2012-10-11 23:06:21,"Only worth a visit in the summer time, to take advantage of the huge sun soaked patio.",w8p4JW6-ERsbg8aB5wjEAg
7,r49iBfbnfoK7yt4rdsL_7g,0,2016-01-05 06:39:33,Hands down best AYCE in town! Love it!,CaFbX7topxdLpBJ_SNDfGQ
8,YCRCFBr6myPS49on2aS2pQ,0,2017-03-13 03:29:40,"Sat in the drive thru this afternoon for 30 minutes and then was handed the wrong coffee. Booooo, I'm seriously here every day and this was the first bad experience",VLy6l8L72adD7iTBNqiPXw
9,RTBIiq-fJUXRsrzbL4MCqw,0,2013-02-08 20:55:15,"Okay so I had a groupon for a nearby service center, but their wait time was 3 hours! Once again, I find myself back at this Brake Masters. Idk why I bother with anywhere else; This place is great!",zrvk0-B91ahJRSB-UcAmIA
10,qrSsS0pk7SL67MP5nN8tlg,0,2013-12-22 05:10:12,More parking in the back of the restaurant,8zXgNCkusOHMwh5Tj_8yCQ
11,oGASRzKGpuiP12ilQH_nKg,0,2010-03-04 15:41:16,Best pretzels this side of the Rhein. Wash down with the Franziskaner Weissbier.,NXXC2iU0o3tDVu6YNaW3Ww
12,63bHLJUomC22Xdm3IjgBtw,0,2011-10-18 18:29:05,"Having the yellow curry, summer rolls and a coke. I would recommend the rolls but the curry was incredible!",DfvT4F5Eqx9Xr3Ei3GYWPg
13,wZhB4U003eg2GQ-F7D2D4A,0,2016-08-12 22:18:07,When you receive the bag of seafood tie it up and then mix it up that way all the flavours get into the seafood. As well for the owner play less Drake music please and thank you when I'm here. :D Congrats Guys,oIHhfloe5VQamDFDB2dr1Q
14,Cni2l-VKG_pdospJ6xliXQ,0,2011-10-09 03:43:39,2nd stop for the pub-crawl! Yay!,NEN5RFpZp7DE6K1PK2KZzg
15,EZZjaiV8ik05NUepqdeP2A,0,2018-02-14 21:35:49,Really delicious food and amazing service.,Fzz-0v1yHLaWuTV64b1miA
